skin,age,periode,content,buy,recommend,likes
"Combination, Medium Light, Neutral",19 - 24, More than 1 year,"Hydrating toner pertama yang aku pake!!! Bagus bgt aaaa murah jg dikantong pelajar ku pada saat itu. Ngelembapin dan memperbaiki skin barrier nya kerasa bgt si, jerawat jadi cepet minggat kalo pake hadalabo ini. Selain buat hydrating toner jg kadang aku pake toner ini buat ngilangin residu masker organik dan yes ini worth it bgt woi, aku uda repurchased puluhan botol keknya", Shopee,recommends this product!,0
"Combination, Medium, Neutral",19 - 24, More than 1 year,"MY HOLYGRAIL!! pertama kali kenal skincare pake basic milih dia karna selain minim ingredients tapi ga neko2 gitu dan hasilnya nampol di aku. dia bikin mukaku lembab seharian. walaupun dia claimnya for normal to dry, but for my combi to oily ini cocok. teksturnya cair enak pokoknyaðð» btw uda ada 4botol", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, Less than 1 week,"gilaa ya, padahal baru pertama kali aku pake dipagi hari sampe sore muka bener2 lembab tapi nggak bikin berminyak, karena akhir2 ini muka ku keringg bgtt sampe ngelupas sensitif gituð­, trus inisiatif beli ini buat ngelembabin siapa tahu membantu, dan ya membantu banget, tekstur wajahku yang sebelumnya kasar mengelupas jadi halus dan skin barrier membaik, harganya juga affordable, pake 3 tetes aja udah bisa dipakai sewajah dan leher. dan pas pakai malam hari, paginya wajah lembab tapi nggak greassy, padahal tipe kulitku kombinasi (normal to oily) tapi cocok juga pake yg strip orange ini. worth to buy!!", Shopee,recommends this product!,1
"Dry, Medium, Neutral",19 - 24, 3 months - 6 months,"toner ini udah aku pakek sekitar lebih dari 3bulan, teksturnya agak kentel spt essence, aku pakek tonernya dg â7 skin methoneâ alias pake sebanyak 7kali, sangat menghidrasi kulitku yg super kering dan sensitif, sukak bangett, kulitku jadi terhidrasi dan lebi glowing, tapi krn ak pakenya 7kali, dilayer ke 4-7 butuh waktu buat mastiin tonernya bener2 ngeresap", Shopee,recommends this product!,1
"Normal, Medium, Warm",18 and Under, More than 1 year,"toner ini udah aku pake dari awal aku pake skincare sampai sekarang, mungkin sekitar 2 tahun aku belom pernah beralih dari selain toner ini, karena ya emang secinta itu, ngelembabin banget, ngga bikin greasy, penyerapannya juga cepet, ngebantu banget buat penyerapan skincare selanjutnya hehehe", Shopee,recommends this product!,0
"Combination, Medium Dark, Neutral",25 - 29, 3 months - 6 months,"Suka Sama efek melembabkannya. Dia cukup melembabkan kulit combi-to-oily ku. awalnya ku pakai yang verso strip ijo muda, Dan pas udah ku upgrade ke strip orange ini, rasanya lembabnya pas. teksturnya masih tergolong ring an banget Dan mudah nyerep.", Traditional market,recommends this product!,0
"Oily, Light, Cool",25 - 29, 3 months - 6 months,"Sebenernya ngincer produk ini dari dulu banget, mungkin sekitar tahun 2017. tapi maju mundur takut komedoan. waktu itu banyak yang review kulitnya jadi komedoan. akhirnya tahun ini cobain ukuran travel dulu supaya nggak rugi banyak kalau nggak cocok. kemasannya aman karena ada plastik luarnya. botolnya juga lumayan kokoh. tutup fliptop, jadi nggak ribet buka tutup. dibawa di tas juga aman, nggak kebuka. teksturnya cair banget, seperti air yang sedikit lebih kental, nggak ada warna, bening, nggak ada wangi. setelah dioles ke kulit, cepat meresap dan agak lengket sebentar. lalu hilang lengketnya. di kulitku kurang lembab. jadi masih butuh moisturizer. nggak bikin kulit tersumbat atau muncul jerawat baru. lumayan suka. tapi mau coba varian yg lebih melembabkan. layak dicoba sih ini dengan harga cuma 15 ribuan aja.", Shopee,recommends this product!,9
"Normal, Medium Light, Neutral",19 - 24, 1 week - 1 month,"untuk yang punya kulit normal cenderung kering kek aku, toner ini joss bgt dalam melembabkan dan mengurangi kulitku yang mengelupas di saat lagi kering parahâ¨ harganya super cocok di kantong dan hemat bgt untuk 100ml udah mo 2 minggu pake tapi berkurangnya masi dikit bgt. toner ini ga ada efek mencerahkan atau apapun selain hanya untuk hidrasi yaa gais.. jadi jgn berharap lebih. repurchase? aku sih yesâ¤ï¸", Shopee,recommends this product!,0
"Oily, Medium Dark, Neutral",18 and Under, 1 month - 3 months,"PRODUK TERðððð SAAT LAGI PUSYENGGG TENGOKK MUKA PENUH JERAWAT !!,beli ini karna kepoo sebagus apa hada labo buat muka saat breakout,eh ternyata baguss banget woi!!!!aku make ini pas lagi jerawat banyak yg keluar, dipake pas mau bobo besoknya udah reda semua seriusâï¸âï¸ repurchase?pasti", Shopee,recommends this product!,0
"Combination, Light, Warm",25 - 29, 3 months - 6 months,"Penasaran karena review orang banyak yang bilang ini bagus banget as a hydrating toner. Tapi pas beli ga berani beli full size, jadinya beli versi trial sizenya dulu. Dari tetesan pertama aja trs kuusap langsung suka banget sih sm teksturnya. Aku coba cuma 2 tetes aja udah bisa buat 1 muka. Kalo dirasain sih teksturnya bukan yg kayak air banget, tp agak ada oilnya sedikit yg ga bikin lengket. Sampe sekarang aku udh sering pake tp ga abis2 sih, awet banget.", AEON,recommends this product!,3
"Oily, Medium Light, Cool",25 - 29, 3 months - 6 months,"teksturnya agak kentel mirip2 hidrating toner aku sebelum ini. sebelumnya aku pake isntree, dan ya teksturnya sama. beralih ke hada labo karena lebih terjangkau dan produknya lebih cepet habis jadi ga khawatir kalau pao udah abis trus produknya masih banyak. ngelembabin bgt, kalau mau skip skincare misal mau skip moisturizer buat AM routine bisa banget ditambahin layer pake produk ini. ", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",25 - 29, 3 months - 6 months,"hydrating toner pertamaa yeay. cocok sih dimuka, teksturnya cair bening bikin muka agak oily tp lembab hehe (kan emg itu tujuannya) tapi masih ringan di muka kok. tapi maaf aku berpaling sudah karna nemu yg lebih bih ringan wkw", Shopee,recommends this product!,0
"Combination, Medium, Neutral",18 and Under, More than 1 year,aku pake ini udah abis 3 ato 4 botolð...karena dikenalin sama tante...katanya baguss..setelah aku coba ternyata emang baguss huhuu..kulitku berasa lebih lembap dan haluss tapi tetep kenyal...produk ini juga bisa dipake kalo abis peelingðð, Shopee,recommends this product!,2
"Normal, Light, Cool",19 - 24, 1 month - 3 months,"Teksturnya watery tpi rada kental gtu, bening, persis kyk tekstur pyunkang yul, pake beberapa tetes udh kena semua muka. Karena teksturnya yg watery jadi dia gampang bgt nyerap di kulit. Hrgnya sgt merakyat + lumayan gampang ditemuin di mana-mana. Trs satu botol kecil gtu bisa tahan smpe 1-2 bulan, yg kecil loh ya, yg 30ml, jadi hitungan super duper hemat. Dia jg fragrance free dan alcohol free, tapi karena dia mengandung paraben jadi aku stop pake, huhu, padahal bgus bgt.", Shopee,recommends this product!,0
"Dry, Medium, Neutral",19 - 24, More than 1 year,"B.A.G.U.S!! Toner nya sendiri cair, setelah di aplikasikan ke muka kerasa licin tp ga akan lama ko karna lgsg menyerap. Dan lembab bgt, di layer berkali2 pun bisa banget malah bakal lebih kenyal kulit nya. Aku sebagai pemilik dry skin bisa ngelayer toner hada labo ini sampe 5-7x, lengket sedikit klo kebanyakan tp lama2 akan nyerep dan rasakan hasil nya wkwk.
Ga ada wangi2an, pakai bnyk pun ga masalah karna murah meriah dan akan selalu repurchase~~", Tokopedia,recommends this product!,1
"Oily, Medium Light, Neutral",19 - 24, More than 1 year,"BAGUS BANGET BANGET BANGET!!! udahhhh abis sekitar 10 botol kayanyaa dan aku setiap beli toner dan ngerasa ga cocok selalu balik lagi ke hadalabo iniiiiii, walaupun aku oily acne prone tapi ini benerann ga bikin over moist dan malah nve hidrasi kulit kuu dengan baik, setiap ada orng yang rekomendasi toner hydrasi jawaban ku selalu iniii, walaupun kalian jerawatannn kalian harus banget tetep hydrasi kulit guys hydrasi adalah kunciiii kulit yang lebih baikk ð­ð­", Shopee,recommends this product!,5
"Combination, Medium, Neutral",18 and Under, 6 months - 1 year,"km yg cri ni psti lgi bca riviw ak, nij yha km gk prlu ragu ragu lgii udh byak org yg review knp km prlu bingug?? ak jg udh pke n reaksi di wajah ak sma spti mereka yg bintag 5, ak lelah klo km spti ini trus,, kpn ak bisa jdi yg km percyai,, klo bgtu trus ak bkal prgi dri km aj", Shopee,recommends this product!,0
"Combination, Medium, Cool",19 - 24, Less than 1 week,"produk ini sangat saya rekomendasikan bagi kulit kering. aku pakai ini udah setahun lebih, habis cuci muka kadang bagian dagu terasa kering, tapi pakai ini tidak perlu takut lagi. bisa membuat lembab seharian. cocok juga untuk kulit sensitif", Shopee,recommends this product!,0
"Combination, Light, Neutral",19 - 24, 3 months - 6 months,"kenal product hada labo stripe orange ini pas muka ku keriiing beberapa waktu lalu, ini product kecil-kecil cabe rawitttð mana harganta murah kann, tapi ampuuuh bgt menghempaskan kulit kering ini dan isinya banyak loh krn ga abis2 padahal tiap hari dipakeð¤£ cepat meresaap!! oke banget deh", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, 3 months - 6 months,"Jatuh cinta banget sih sama produk ini, pertama direkomendasiin sama sepupu. Coba beli sekali eh keterusan sampe sekarang. Nampol banget, kalo dipake pas malem. Waktu baru bangun kulitku jadi kayak pantat bayi. Kadang aku pakenya di kapas atau langsung di telapak tangan. Harus beli sih!", Alfamart,recommends this product!,0
"Combination, Medium Light, Neutral",19 - 24, 3 months - 6 months,bangus banget banget banget! no parfume & alkohol kandungan hyaluronic yang bikin kulitku makin makin lembab banget di kulitku yg dry ini. plus bikin kulit lembut. buat yang punya kulit yang dry kaya aku cocok banget pake. dan pasti aku repurchese, Shopee,recommends this product!,3
"Dry, Medium Light, Cool",19 - 24, 3 months - 6 months,Tertarik beli ini karena ada kandungan hyaluronic acidnya dan nggak mengandung alkohol dan parfum. Setelah pake produk ini kulitku jadi lebih lembab. Bakalan repurchase sih soalnya harganya juga murah dan cocok di aku., Minimarket,recommends this product!,0
"Dry, Medium, Neutral",19 - 24, 1 week - 1 month,"aku pake ini untuk dijadiin toner dan super duper ngelembabin kulit yg dry ini, dia teksturnya lebih kental dari air biasa dan pas dipake ke kulit agak lengket but cepet meresap. isinya juga lumayan banyak dan harganya ramah untuk kantong para pelajar. untuk sementara ini kalo udh abis bakalan beli lagið", Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, More than 1 year,"Suka bgt bgt bgt!! Texturenya cair kaya airr tapi lebih kentel dikiit, setelah dipake dia kerasa lengket di kulit tapi cepet banget menyerap. Aku udah pake hampir setaun dan so far dia bisa ngilangin bruntusan di mukaku. Aku pake pagi dan malem, kalo malem kadang aku pake ini setelah pake toner exfoliate aha bha nya hadalabo jugaa", Monita,recommends this product!,0
"Normal, Medium Light, Warm",19 - 24, 6 months - 1 year,"Udah repurchase berkali-kali saking sukanya dengan produk ini karena efek hidrasinya beneran ngaruh di kulit kombinasiku yang cenderung kering ini. Teksturnya kental gaada baunya sama sekali, tapi pas waktu dibaurin bakal ngeresap di wajah. Habis pakai ini wajah jadi terasa PLUMPY, BOUNCY, dan LEMBAB banget. skinbarrierku membaik karena pakai ini dan skincare selanjutnya jadi cepet meresap juga. wadahnya emang agak stuffy kalau dimasukin pouch karena bentuknya botol gitu, tapi dia aman kok dan nggak khawatir kalau misalkan jatuh karena terbuat dari plastik yang kokoh. Pernah coba toner merk lain, tapi kemampuan hidrasinya tetap unggul si hadalabo ini. poin plusnya lagi, dia bikin wajahku glowing dan makeup jadi nempel. Kalo kalian kulitnya kering dan butuh hidrasi ekstra bisa nyobain toner ini.", Guardian,recommends this product!,5
"Combination, Medium, Warm",19 - 24, More than 1 year,"Toner-toner dari Hadalabo ini, terkenal dengan berbagai macam kandungan Hyaluronic Acid sebagai highlight ingredientnya, ada yang 3 tipe HA hingga 5 tipe HA. Untuk yang dibahas kali ini, yaitu Hadalabo Strip Orange, mengandung 3 tipe HA.Oh iya, dalam skincare Jepang itu, kalau lotion berarti toner, sedangkan milk berarti moist.Hadalabo Strip Orange ini diperuntukkan bagi kulit Normal to Dry, kalau kamu Normal to Oily bisa coba yang Strip Hijau. Datang dengan kemasan putih kokoh, dengan tutup fliptop. Meskipun putih (nggak bening amat juga) kita tetap bisa lihat isi dari tonernya. Tonernya sendiri yang masuk ke Indonesia 100ml, kalau yang di Jepang 150ml. Aku suka kemasannya, Simple, penjelasannya rinci dan travel friendly! Teksturnya nggak kaya toner pada umumnya, lebih kental sedikit. Kalau kulit lagi nggak kering amat, satu layer sudah cukup di kulitku. Kalau lagi kering banget bisa sampe 3 layer. Yang membuat males layer pakai Hadalabo menurutku toner ini berasa lengket. Aku selalu pakai tangan, nggak pernah pakai kapas, ya karena teksturnya kental itu jadi sayang aja kalau terserap semua ke kapas. *tim hemat*Aromanya sendiri hampir nggak kecium, karena sudah ditulis di awal, Hadalabo memang nggak memakai fragrance.Sejauh ini Hadalabo ini jadi toner Holygrail aku, selain harganya yang amat sangat terjangakau dan ada dimana-mana, performanya cukup sekali untuk sebuah hydrating toner. Di kulitku lembabnya dapat dan nggak pernah ada efek negatif kaya bruntusan dan kawan-kawannya.", Shopee,recommends this product!,5
"Combination, Medium Light, Neutral",25 - 29, 6 months - 1 year,Pernah cobain ini waktu awal2 skincare journey. Teksturnya cair dan ringan banget buat moisturizer. Bikin kulit kenyal dan moist. Tapi aku skrg lebih suka moisturizer yg teksturnya gel jadi udh ga pake ini lagi hehe. But overall ini okeee, Shopee,doesn't recommend this product! ,0
"Dry, Medium Light, Neutral",19 - 24, 1 month - 3 months,"aku gacocok banget sama dia, bikin bruntusan dan panas dimuka tiap dipake, karna masi ada parabennya dimana aku paling sensitif sama produk yg masi mengandung paraben, padahal dia toner paling murang yg pernah aku temuin, teksturnya yg lebih thick dibanding toner hydrate lain", Guardian,doesn't recommend this product! ,0
"Combination, Medium, Warm",18 and Under, Less than 1 week,"hada labo ini free alcohol & fragrance, menghidrasi dgn baik, harganya sngt affordable, pokonya toner inituh basic bgt, dia cuma nglembapin aja gaada efek signifikan yang lain, buat yg cari basic hydrating toner dengan harga yg murce bs cobain ini si", Watsons,recommends this product!,0
"Combination, Medium Dark, Cool",18 and Under, 1 week - 1 month,"Krn review produk ini tuh banyaakkk bgt yg bagusÂ², jd aku try it. Pas beli kaget bgt krn ga nyangka ukurannya gede dan setetes dua tetes aja udh bisa buat semuka. AwalÂ² pakai entah gmn tapi bruntusan di deketÂ² hidung lenyap dalam semalam pdhl cmn pake 1 layer doang OMG!! Selama rutin kupake ga ada efek yang anehÂ², cmn makin kesini selama make ga ada efek lagi selain melembabkan sih. overall bagus :"")", Shopee,recommends this product!,0
"Combination, Light, Neutral",30 - 34, 6 months - 1 year,"Tergiur beli ini krn review nya bagus dan product ini. Texturenya watery but slippery,jadi cuma butuh bbrp tetes utk seluruh muka & leher. No fragrance dan katanya cocok utk kulit sensitive. Satu botol habis nya lama ð tapi setelah habis 2 botol baru sadar kalo lotion ini yg bikin my pores clogged. Kalo di sentuh muka ku ada beruntusan kecil2 dan lebih kelihatan kalo di bawah sinar matahari. Leher juga sampe beruntusan. Setelah di take out dari my skincare routine baru beruntusan nya hilang. Bingung juga knp bisa gak cocok pdhl secara ingredients harus nya aman bgt. Tapi ya ternyata walaupun kebanyakan org cocok blm tentu kita cocok.", Guardian,recommends this product!,0
"Combination, Medium, Neutral",25 - 29, More than 1 year,"Hydrating toner yang mudah dicari, ramah kantong dan mampu melembabkan kulitku dengan 3 Kandungan Hyaluronic Acid didalamnya, aku juga sering gunain ini untuk csman. karena Hydrated adalah Koentji untuk memperkuat skin barrier.", Dan+Dan,recommends this product!,1
"Combination, Light, Neutral",19 - 24, 1 month - 3 months,"mengingat harganya yg sangat ramah kantong, toner ini best sihh, bnr2 ngelembabin bgttt semaleman pdhl cuma pake dia doang tp paginya muka msh enak dan ga kering. teksturnya cair2 licin gtu, gak bnr2 kayak air, packagingnya simple dan isinya tahan lama bgt krna pake sedikit aja udh cukup kalo aku", Shopee,recommends this product!,0
"Combination, Medium, Warm",19 - 24, 6 months - 1 year,"Aku suka bgt sama produk ini karena klaimnya ngga neko-neko dan bekerja sesuai klaimnya. Melembabkan kulitku yang cukup kering tanpa bikin kulit berminyak. Teksturnya cair, berwarna bening dan ngga ada baunya. Desainnya biasa aja menurut aku ngga ada yang spesial. Untuk ukuran 100ml kurang travel friendly", Shopee,recommends this product!,0
"Combination, Medium, Neutral",19 - 24, 1 month - 3 months,"ooomygod i loveee this product ð­ Untuk tipe kombinasi cenderung oily gini but kadang kering karena exfo, kupakein ini masih oke banget sih. Lembab banget sukak, dia gada wangi, gak ganggu. Teskturnya bening agak kentel air gitu, but enak banget:( Bucin banget sama ini", Shopee,recommends this product!,0
"Oily, Medium Light, Cool",19 - 24, More than 1 year,"krna dulu jerawatan serba nga cocok pake pelembab apapun yang ada di drugstore, dan yang mengandung fragerance, jasi aku iseng coba hadalabo ini. waktu jaman itu skincare masih blm hypenning kya skrng, jdi yang affordable harganya, dan blm banyak yng review product ini, nekat nyoba dan secocok itu. ngga ada harum, ngga lengkep, watery bnget, tpi ngga bikin kering, nyeimbangin kdar minyak di kulit, ngga bikin kulit oily gituu. pokoknya untuk kulit berjerawat dan alergi product yng ada fragerancenya ini cocok sii ðð»", Hypermart,recommends this product!,1
"Combination, Medium Light, Neutral",25 - 29, More than 1 year,"penyelamat pas lagi dehidrasi, ga butuh hydrating yg mahal mahal, ini aja udah cukup, harganya ga bikin dompet menjerit tapi hidrasinya oke bgt.. ngaruh bgt juga pas lg jerawatan jd sembuh lebih cepet. wajib coba!", Tokopedia,recommends this product!,0
"Dry, Medium Light, Neutral",19 - 24, 1 week - 1 month,"aku bnr2 ga cocok pake ini, pdhl dia murah + teksturnya enak aga kental gitu tapi di aku malah bruntusan dan ga ngebantu hidrasi juga, aku pake sekitar 3x setelah itu bruntusan, akhirnya aku berenti pake trus aku masih berjuang bnr2 pengen produk ini bisa cocok sama aku tp malah bruntusan lebih banyak lagi. aku tau ga cocok krn setiap aku berenti pasti bruntusannya lgsg ilang huhu sayang bgt", Shopee,doesn't recommend this product! ,0
"Dry, Medium Dark, Warm","Dry, Medium Dark, Warm", 1 month - 3 months,"udah botol kedua aku nyobain toner ini. dari segi tekstur aku lebih suka toner yang kayak gini, gak terlalu cair dan juga gak terlalu kental, teksturnya pas. ngelembabinnya dapet banget. biasanya aku pakai first toner dulu biar wajah aku sedikit basah / kalau habis cuci muka gak usah dilap sampe kering, baru dipakein toner ini oke banget lembabnya. dipakein berlayer-layerpun juga gak kerasa lengket, meresapnya juga cepet", Shopee,recommends this product!,0
"Dry, Light, Neutral",25 - 29, 6 months - 1 year,"THE BESSST. toner ter the best sih buat aku, udah mah harganya juga terjangkau banget,. isinya banyak lagi. di aku bener-bener ngelembapin sih rasanya, pake nya jg lumayan irit. cinta banget banget sm produk ini. plis jangan viral karna tar jadi susah cari & harganya jadi mahal hehehe", Shopee,recommends this product!,0
"Dry, Medium, Neutral",30 - 34, More than 1 year,"first impression in product oke banget sih. terus ikut-ikut temen, ikut-ikut influencer akhirnya beli. Awal-awal sih baik-baik aja. Lama-lama kok suka gatel. Kirain gatel karna kulitku even abis pake skin care suka kering ga karuan aja gitu entah kenapa. Pas di cek ternyata dia ada parabennya. Salahku sih ga cek ingredients pas beli. Sedihnya udh beli yang baru eh baru sadar terrnyata dia berparaben. Karna aku kulitnya ga kuat paraben akhirnya berenti pake daripada makin aneh-aneh kulitnya. Ga rekomended buat yang kulit sensitif paraben. Sayang banget padahal baru ke pake dikit banget ini botol baru ð¢", Guardian,doesn't recommend this product! ,0
"Normal, Medium, Warm",19 - 24, More than 1 year,"My first hydrating toner dan sampai skrg sekarang masih ttp jadi kecintaan. Dia ini punya tekstur mirip air tp rada lebih thick, dia jg gk mengandung fragrance, pewarna dan alkohol. Produk ini di aku membantu bgt disaat kulit lg kering dan butuh hydrate, disaat habis cuci muka kulit jd kering dan ketarik. Di aku cukup pakai 2-3 tetes udh cukup utk semua dan cepet nyerap nya. Repurchase? of course", Shopee,recommends this product!,0
"Dry, Medium, Neutral",18 and Under, Less than 1 week,"baru pertama kali nyoba udah langsung jatuh cinta banget teksturnya agak kental yaa kebetulan aku suka tekstur toner yang kentel gitu berasa dapet banget efek ngelembabin di kulitnya,sejauh ini ga ada sih efek aneh aneh malahan mukaku jadi lebih halus gitu pokonya mah cinta bangetðð", Shopee,recommends this product!,0
"Combination, Medium Light, Cool",19 - 24, 1 month - 3 months,ini baguss si buat kulit ku yang normal to dry dia ada 3 type hyaluronic acidnyaaa jadi lembabb tp ga bikin bruntusan pake dikit aja tu udah bisa semuka aku beli waktu itu lg diskon jadi 34k aku juga beli moisnya yg shirojyun behhh doble bestt lah., Watson,recommends this product!,0
"Combination, Light, Neutral",19 - 24, More than 1 year,"Udah botol keberapa gak tauu wkwk. Udah 4/5 tahun pake ini, secinta ituuuu. Kayak apa yaa, harganya terjangkau buat pelajar/mahasiswa, teksturnya gak cair gak kentel juga, menurut aku teksturnya malah kyk brand py*ngk*ng, udah cukup banget buat ngelembapin. Udah jadi hydrating toner terfavoriteeee.", Shopee,recommends this product!,0
"Combination, Light, Neutral",30 - 34, 1 week - 1 month,"beli ini tuh karena liat iklan di youtube , jadi jiwa penasaran ku meronta ð dengan kemasan baru menerutku cuman ngubah penampilan nya doang untuk wadahnya masih khas hada labo banget dari 2012 pertama kali aku coba yg biru . tekturnya tuh dibilang lotion jg enggak , cair juga enggak . tapi begitu diaplikasikan di kulit , seperti air donk gak bikin lengket dan mudah banget meresapnya . setelah pemakaian yang aku rasain , kulitku lebih cerah , dan terhydrasi banget , kenyal . beneran cocok gak ada reaksi alergi . beneran sesuka itu sama hada labo jadi penasaran sama yg kemasan merah . abis ini coba yg merah ah", Shopee,recommends this product!,1
"Oily, Medium, Neutral",30 - 34, 1 week - 1 month,"maaf kalo dikulit wajah saya yg berminyak dan sensitif tidak cocok semakin Bermnyak sekali...sy pake baru Â½botol... saya berhenti pake...padahal sy pikir ini bagus,mngkn krna kulit wajah sy oily dan sensitif kali ya", Facebook,doesn't recommend this product! ,1
"Combination, Medium Light, Neutral",25 - 29, 1 month - 3 months,"Tertarik coba karna banyak review yg bilang mantul. Dari segi kemasan biasa aja sih, botol warna putih, gampang buka tutup, gak besar besar banget, jadi bisa lah dibawa kemana mana. Harganya juga worth to buy menurutkuð¤­ teksturenya cair kayak air tp pas diaplikasi ke muka kayak ada keset kesetnya dan mudah nyerap. Hasilnya emang mantul, wajah terhidrasi dengan baik,, aku sih jarang berlayer layer yah, cukup 1 atau 2 layer udah lumayan melembabkan kulitku, kebantu juga sama moisturizer jadi makin mantul. Repurchase? Yes ð", Shopee,recommends this product!,17
"Combination, Medium Light, Neutral",19 - 24, More than 1 year,namanya moisturizing lotion sih tp aku pake sebagai hydra toner. gapernah berekspektasi macem2 klo sama toner deh asal dia bikin lembab itu udah cukup menurutku. dan ini produk yang udh berkali-kali aku repurchase karna kandungannya yang gak macem2 dan gak janjiin apa2 juga jadi gmn ya nothing to lose gt ga sih wkwk. produk klo asalnya dr jepang aku percaya deh ga main main pasti, Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",25 - 29, More than 1 year,"produk ini toner pertamaku banget, tapi awal awal belum terlalu kenal skincare aku pake yang strip ijo. setelah beberapa lama pake skincare kulit udah ga gitu berminyak jadi mulai coba yang orange. kebetulan ditempatku agak dingin juga jadi kulit agak kerasa kering. agak sticky sih, trus juga agak lama buat menyerap. so far, cocok sama lotionnya, ga bikin bruntusan. loff", Shopee,recommends this product!,0
"Oily, Medium, Neutral",19 - 24, Less than 1 week,"First impression aku, tonernya aga sedikit thick teksturnya beda dengan toner toner yang lain yang pernah aku coba. Tapi over all aku suka tonernya, sangat melembabkan wajah aku meski sedikit agak greesy karena muka aku oily. Repurchased? No. Ingin coba produk lain.", Mahmud,recommends this product!,0
18 and Under,18 and Under, 6 months - 1 year,Beli ini sama fwnya yang aha bha harganya bagi remaja pelajar kek aku mahal si kalo bagi yang udah kerja standard menurutku enak si lengket gitu dimuka aku rada perih gaada baunya sama sekali isinya lumayan banyak kalo bagi aku gacocok si, Lazada,doesn't recommend this product! ,0
"Normal, Light, Cool",19 - 24, 3 months - 6 months,"Hydrating toner favorit aku, suka banget sama toner ini. Harganya murah tapi gak murahan. Sesuai fungsinya ini bener2 ngelembapin wajah aku dan ingredientnya juga bagus enggak ada fragrance, mineral oil dan alkohol sayangnya masih ada paraben nya. But no problem sih, pasti udah dipikiri sama hadalabonya kenapa pake paraben", Shopee,recommends this product!,0
"Oily, Medium Light, Warm",19 - 24,null,"kecintaan dari jaman sma dulu, awalnya pake yg warna biru tapi beralih ke yg putih ini, dia bikin lembab gak ada fragrancenya aku pake semua dari fash wash sampe milknya mana muraaah bangeeettt lagi â¤",null,,0
"Combination, Medium Dark, Warm",19 - 24, 3 months - 6 months,"kukitku combie dan ini hidrasinya nampol si, teksturnya agak lebih kental dr pd yg hd labo ijo, kalo lg exfoliate dan muka kering ini beneran bikin kulit kenyang, gampang ngeresep, aku biasanya pake double toning, jd pake yang ijo dulu trs yg oren ini dan bruntusan dan jerawatku membaik, luv, repurchase pastiii", Gift,recommends this product!,0
"Oily, Medium Light, Neutral",18 and Under, 1 week - 1 month,"Ini produk sumpah bagus banget untuk melembabkan kulit. sebenarnya ini untuk normal to dry skin kan tapi aku mau nyoba aja karna kulit ku yang oily ini lagi dehidrasi. tertolong banget sama dia bener bener bikin lembab , elastis , glowing. parah suka banget aku sama hadalabo ini. aku nunggu yang punya ku ini habis baru beralih ke yang warna hijaunya. penasaran pengen coba juga", Shopee,recommends this product!,3
"Dry, Medium, Neutral",19 - 24, Less than 1 week,"Untuk kulit kering bisa banget cobaiin ini, aku baru pertama kali pakai dan baru semingguan kulit udah ga terlalu kering dan melembabkan banget. harga juga affordable, kemasan praktis dan mudah di takar setiap tetesannya jadi ga tumpah2 gitu.", Shopee,recommends this product!,0
"Oily, Medium Light, Neutral",18 and Under, 1 month - 3 months,"SUKA BGTTðð,MELEMBABKANNYA PASSSSS DIKULIT AK YG BERMINYAK,DY LUMAYAN MENGURANGI PRODUKSI MUNCULNYA MINYAK DULIKKU GITUU RASANYA,TRUS G DA BAU ANEH ANEH JG,HRGNYA PAS DIKANTONGG BUNDD,RECOMMENDED DAHâð­", Traditional market,recommends this product!,1
"Dry, Medium Light, Neutral",19 - 24, 6 months - 1 year,"Wahhh ini toner melembabkan banget di kulit saya, Alhamdulillah cocok, bikin kulit lembab dan halus, kadang saya pake ini merasa glowing, tidak perih dan juga mudah meresap di kulit, lalu harganya juga murah dan ada kemasan mini yaitu 30ml.", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, 1 week - 1 month,"WAHH GILAAð¤¬ð¤¬gue make ini langsung kebakar gitu, padahal disini reviewnya bagus, ABIS MAKE INI KULIT GUE LANGSUNG ITEM BELANG2 GITU?! PRODUK APAAN SI INI? HANCUR WOE MUKA GUE, untung tiap kali kluar pake masker, but itu kliatan bgt nyeblang2nya, jgn ada yg nyoba ya guys bahaya", Guardian,doesn't recommend this product! ,1
"Combination, Medium, Neutral",18 and Under, 1 month - 3 months,"harganya affordable, gaada fragrance nya juga! tekstur nya cair bener bener kayak air biasa. lumayan melembabkan, cepet menyerap jugaaa!! minus nya cuma mengandung paraben ajað¥ð¥ðð selebihnya dia ga bikin masalah apapun di kulit aku. worth to try lah <3", Shopee,recommends this product!,0
"Normal, Medium, Neutral",19 - 24, 3 months - 6 months,"hydrating toner favorite aku banget, selain harganya yang sangat terjangkau dikantong pelajar tapi sangat baguss banget, sangat membantu melembabkan wajahku dan sangat ringan, no fragance no alcohol juga, jadi aman dipakai........", Brand website,recommends this product!,0
